Doctor,52,22,30
Nurse,4,6,6
midwife,14,17,16
TBA,5,4,4
Trained Dai/Dai,22,47,41
Family member/Neighbour/Friend,1,1,1
LHV,2,2,2
Other,0,0,0
Total,100,100,100
Rahim Yar Khan,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,57,71,68
Govt. Hospital/RHC/BHU,19,11,12
Private Hospital/Clinic,21,18,18
Other,2,1,1
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,36,23,25
Nurse,5,3,4
midwife,0,0,0
TBA,4,9,8
Trained Dai/Dai,50,60,58
Family member/Neighbour/Friend,3,2,3
LHV,2,2,2
Other,0,1,1
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,64,83,81
Govt. Hospital/RHC/BHU,19,5,7
Private Hospital/Clinic,17,11,11
Other,0,1,1
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,24,9,11
Nurse,7,2,3
midwife,13,12,12
TBA,1,3,2
Trained Dai/Dai,41,32,33
Family member/Neighbour/Friend,12,37,35
LHV,2,4,4
Other,0,1,1
Total,100,100,100
Layyah,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,45,74,70
Govt. Hospital/RHC/BHU,21,9,11
Private Hospital/Clinic,34,16,18
Other,0,1,1
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,51,16,21
Nurse,0,2,2
midwife,12,6,7
TBA,0,1,1
Trained Dai/Dai,24,60,55
Family member/Neighbour/Friend,9,5,6
LHV,4,9,8
Other,0,2,2
Total,100,100,100
Muzaffar Garh,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,56,71,69
Govt. Hospital/RHC/BHU,15,11,12
Private Hospital/Clinic,29,17,19
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,35,19,21
Nurse,7,6,6
midwife,6,7,7
TBA,5,13,12
Trained Dai/Dai,36,43,42
Family member/Neighbour/Friend,4,7,7
LHV,6,3,4
Other,1,2,2
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,59,86,83
Govt. Hospital/RHC/BHU,18,6,8
Private Hospital/Clinic,23,6,8
Other,0,1,1
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,35,12,15
Nurse,7,0,1
midwife,4,26,24
TBA,4,3,3
Trained Dai/Dai,43,48,47
Family member/Neighbour/Friend,7,11,11
LHV,0,0,0
Other,0,0,0
Total,100,100,100
Chiniot,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,32,51,47
Govt. Hospital/RHC/BHU,3,3,3
Private Hospital/Clinic,65,46,50
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,62,43,48
Nurse,7,7,7
midwife,0,1,1
TBA,4,23,19
Trained Dai/Dai,26,20,21
Family member/Neighbour/Friend,0,1,1
LHV,0,1,0
Other,0,3,3
Total,100,100,100
Faisalabad,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,30,47,40
Govt. Hospital/RHC/BHU,9,5,7
Private Hospital/Clinic,61,47,53
Other,1,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,62,46,53
Nurse,7,7,7
midwife,1,0,1
TBA,4,14,10
Trained Dai/Dai,24,32,28
Family member/Neighbour/Friend,0,0,0
LHV,1,1,1
Other,1,0,0
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,46,60,57
Govt. Hospital/RHC/BHU,11,7,8
Private Hospital/Clinic,43,32,35
Other,0,1,1
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,52,28,33
Nurse,1,4,3
midwife,1,2,2
TBA,18,38,34
Trained Dai/Dai,21,19,19
Family member/Neighbour/Friend,3,1,2
LHV,4,6,6
Other,1,2,1
Total,100,100,100
T.T.Singh,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,47,45,46
Govt. Hospital/RHC/BHU,6,6,6
Private Hospital/Clinic,46,49,48
Other,1,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,50,48,49
Nurse,2,8,7
midwife,3,0,1
TBA,25,12,14
Trained Dai/Dai,17,30,27
Family member/Neighbour/Friend,2,0,0
LHV,1,2,2
Other,0,0,0
Total,100,100,100
Gujranwala,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,27,46,36
Govt. Hospital/RHC/BHU,11,8,9
Private Hospital/Clinic,62,46,55
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,66,45,56
Nurse,4,9,6
midwife,1,1,1
TBA,2,10,6
Trained Dai/Dai,22,31,27
Family member/Neighbour/Friend,0,0,0
LHV,4,1,3
Other,1,1,1
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,22,32,30
Govt. Hospital/RHC/BHU,18,18,18
Private Hospital/Clinic,61,50,52
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,77,65,68
Nurse,3,2,2
midwife,3,1,2
TBA,0,6,5
Trained Dai/Dai,14,22,21
Family member/Neighbour/Friend,0,0,0
LHV,3,2,2
Other,0,1,1
Total,100,100,100
Hafizabad,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,42,49,47
Govt. Hospital/RHC/BHU,9,4,6
Private Hospital/Clinic,49,47,48
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,57,48,51
Nurse,1,3,2
midwife,0,1,0
TBA,12,6,8
Trained Dai/Dai,26,41,37
Family member/Neighbour/Friend,0,1,1
LHV,2,1,1
Other,2,0,1
Total,100,100,100
Mandi Bahuddin,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,41,60,57
Govt. Hospital/RHC/BHU,8,7,7
Private Hospital/Clinic,51,31,34
Other,0,3,2
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,59,38,41
Nurse,0,1,1
midwife,6,1,1
TBA,5,11,10
Trained Dai/Dai,23,47,44
Family member/Neighbour/Friend,3,3,3
LHV,0,0,0
Other,5,0,1
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,41,59,57
Govt. Hospital/RHC/BHU,9,6,6
Private Hospital/Clinic,50,33,35
Other,0,1,1
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,34,10,12
Nurse,29,34,33
midwife,7,4,4
TBA,0,1,1
Trained Dai/Dai,25,51,48
Family member/Neighbour/Friend,4,0,1
LHV,3,0,1
Other,0,0,0
Total,100,100,100
Sialkot,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,17,44,38
Govt. Hospital/RHC/BHU,18,9,11
Private Hospital/Clinic,65,48,51
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,50,17,24
Nurse,35,21,24
midwife,0,17,14
TBA,0,0,0
Trained Dai/Dai,13,32,28
Family member/Neighbour/Friend,0,3,2
LHV,1,7,6
Other,1,3,3
Total,100,100,100
Kasur,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,32,44,41
Govt. Hospital/RHC/BHU,30,20,22
Private Hospital/Clinic,36,36,36
Other,1,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,49,29,34
Nurse,19,24,23
midwife,1,1,1
TBA,3,4,3
Trained Dai/Dai,28,39,36
Family member/Neighbour/Friend,0,0,0
LHV,1,3,2
Other,0,1,1
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,16,42,20
Govt. Hospital/RHC/BHU,36,26,34
Private Hospital/Clinic,49,30,45
Other,0,2,1
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,68,39,63
Nurse,15,22,16
midwife,2,3,2
TBA,2,7,3
Trained Dai/Dai,12,29,15
Family member/Neighbour/Friend,1,1,1
LHV,1,0,1
Other,0,0,0
Total,100,100,100
Nankana Sahib,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,35,54,50
Govt. Hospital/RHC/BHU,10,9,9
Private Hospital/Clinic,55,37,41
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,55,33,38
Nurse,10,13,12
midwife,1,1,1
TBA,15,23,22
Trained Dai/Dai,14,27,25
Family member/Neighbour/Friend,0,1,1
LHV,2,0,0
Other,2,2,2
Total,100,100,100
Sheikhupura,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,31,38,35
Govt. Hospital/RHC/BHU,22,23,23
Private Hospital/Clinic,47,39,42
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,58,40,46
Nurse,11,24,19
midwife,0,2,1
TBA,9,5,6
Trained Dai/Dai,18,28,24
Family member/Neighbour/Friend,1,1,1
LHV,3,0,1
Other,0,1,1
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,56,62,61
Govt. Hospital/RHC/BHU,7,5,5
Private Hospital/Clinic,37,32,33
Other,0,1,1
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,38,29,31
Nurse,3,4,4
midwife,4,7,7
TBA,8,14,13
Trained Dai/Dai,33,34,34
Family member/Neighbour/Friend,5,7,7
LHV,9,3,4
Other,0,2,1
Total,100,100,100
Lodhran,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,56,67,66
Govt. Hospital/RHC/BHU,9,8,8
Private Hospital/Clinic,35,24,25
Other,0,2,2
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,31,21,22
Nurse,10,3,4
midwife,14,6,7
TBA,5,29,26
Trained Dai/Dai,38,28,29
Family member/Neighbour/Friend,3,6,6
LHV,0,5,4
Other,0,2,2
Total,100,100,100
Multan,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,27,64,50
Govt. Hospital/RHC/BHU,19,7,11
Private Hospital/Clinic,55,28,38
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,54,29,39
Nurse,4,4,4
midwife,6,10,9
TBA,2,9,6
Trained Dai/Dai,22,42,35
Family member/Neighbour/Friend,2,3,3
LHV,10,2,5
Other,0,1,1
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,36,49,47
Govt. Hospital/RHC/BHU,11,5,6
Private Hospital/Clinic,53,46,47
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,46,36,37
Nurse,17,11,12
midwife,1,1,1
TBA,0,5,4
Trained Dai/Dai,31,40,39
Family member/Neighbour/Friend,1,0,1
LHV,4,6,6
Other,0,1,1
Total,100,100,100
Attock,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,36,37,37
Govt. Hospital/RHC/BHU,34,32,32
Private Hospital/Clinic,30,29,29
Other,0,2,1
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,61,55,57
Nurse,5,4,4
midwife,0,3,2
TBA,4,5,5
Trained Dai/Dai,22,17,18
Family member/Neighbour/Friend,8,9,9
LHV,0,5,4
Other,0,0,0
Total,100,100,100
Chakwal,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,11,37,34
Govt. Hospital/RHC/BHU,51,25,28
Private Hospital/Clinic,38,38,38
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,82,54,58
Nurse,8,8,8
midwife,0,2,2
TBA,0,1,1
Trained Dai/Dai,9,29,26
Family member/Neighbour/Friend,0,4,4
LHV,0,1,1
Other,0,1,1
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,28,28,28
Govt. Hospital/RHC/BHU,43,33,36
Private Hospital/Clinic,30,38,36
Other,0,1,1
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,71,62,65
Nurse,0,2,1
midwife,3,11,8
TBA,3,1,2
Trained Dai/Dai,9,19,16
Family member/Neighbour/Friend,12,3,5
LHV,0,1,1
Other,2,2,2
Total,100,100,100
Rawalpindi,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,20,25,22
Govt. Hospital/RHC/BHU,47,47,47
Private Hospital/Clinic,32,27,29
Other,1,1,1
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,79,69,74
Nurse,1,3,2
midwife,2,1,2
TBA,2,2,2
Trained Dai/Dai,11,18,15
Family member/Neighbour/Friend,4,3,3
LHV,0,2,1
Other,1,2,1
Total,100,100,100
Okara,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,56,63,61
Govt. Hospital/RHC/BHU,13,3,5
Private Hospital/Clinic,31,34,33
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,39,24,27
Nurse,2,5,5
midwife,19,4,8
TBA,4,0,1
Trained Dai/Dai,26,52,47
Family member/Neighbour/Friend,3,5,5
LHV,4,9,8
Other,2,0,1
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,47,66,63
Govt. Hospital/RHC/BHU,11,7,7
Private Hospital/Clinic,42,27,29
Other,0,1,1
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,47,19,23
Nurse,2,8,7
midwife,11,8,8
TBA,0,1,0
Trained Dai/Dai,36,55,53
Family member/Neighbour/Friend,1,3,3
LHV,1,6,5
Other,2,0,0
Total,100,100,100
Sahiwal,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,35,60,57
Govt. Hospital/RHC/BHU,12,5,6
Private Hospital/Clinic,49,35,37
Other,4,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,54,33,35
Nurse,11,3,4
midwife,12,6,7
TBA,3,5,5
Trained Dai/Dai,17,42,39
Family member/Neighbour/Friend,0,4,3
LHV,2,7,6
Other,0,0,0
Total,100,100,100
Bhakhar,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,54,48,49
Govt. Hospital/RHC/BHU,12,12,12
Private Hospital/Clinic,34,37,37
Other,0,2,2
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,31,36,35
Nurse,6,9,9
midwife,2,1,1
TBA,9,3,4
Trained Dai/Dai,41,39,40
Family member/Neighbour/Friend,0,1,1
LHV,8,10,9
Other,2,1,1
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,31,67,59
Govt. Hospital/RHC/BHU,21,6,10
Private Hospital/Clinic,45,26,31
Other,2,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,59,25,32
Nurse,6,4,5
midwife,0,2,1
TBA,6,11,10
Trained Dai/Dai,9,36,30
Family member/Neighbour/Friend,7,3,4
LHV,13,6,7
Other,0,13,10
Total,100,100,100
Mianwali,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,32,50,46
Govt. Hospital/RHC/BHU,31,19,22
Private Hospital/Clinic,37,31,32
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,51,27,32
Nurse,8,3,4
midwife,0,3,3
TBA,5,1,2
Trained Dai/Dai,17,25,23
Family member/Neighbour/Friend,2,15,13
LHV,16,25,23
Other,1,0,0
Total,100,100,100
Sargodha,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,26,54,47
Govt. Hospital/RHC/BHU,18,10,12
Private Hospital/Clinic,56,36,41
Other,1,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,70,38,46
Nurse,3,6,5
midwife,2,3,3
TBA,1,13,10
Trained Dai/Dai,17,24,22
Family member/Neighbour/Friend,1,5,4
LHV,7,4,5
Other,0,8,6
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,21,67,48
Govt. Hospital/RHC/BHU,24,9,15
Private Hospital/Clinic,54,24,37
Other,1,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,72,29,47
Nurse,3,2,2
midwife,5,3,4
TBA,10,26,19
Trained Dai/Dai,6,20,14
Family member/Neighbour/Friend,4,20,13
LHV,0,1,0
Other,0,1,0
Total,100,100,100
Home,23,48,44
Govt. Hospital/RHC/BHU,16,7,8
Private Hospital/Clinic,59,45,48
Other,2,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,59,49,51
Nurse,4,2,2
midwife,0,0,0
TBA,9,12,12
Trained Dai/Dai,12,8,9
Family member/Neighbour/Friend,16,28,26
LHV,0,0,0
Other,0,0,0
Total,100,100,100
Dadu,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,58,76,72
Govt. Hospital/RHC/BHU,16,12,12
Private Hospital/Clinic,27,12,15
Other,0,1,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,42,23,27
Nurse,0,0,0
midwife,6,6,6
TBA,13,8,9
Trained Dai/Dai,37,39,39
Family member/Neighbour/Friend,0,24,19
LHV,2,0,0
Other,0,0,0
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,12,56,18
Govt. Hospital/RHC/BHU,39,15,36
Private Hospital/Clinic,49,29,47
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,87,41,80
Nurse,2,3,2
midwife,0,0,0
TBA,6,6,6
Trained Dai/Dai,3,24,5
Family member/Neighbour/Friend,2,25,5
LHV,0,1,0
Other,0,0,0
Total,100,100,100
Jamshoro,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,24,62,53
Govt. Hospital/RHC/BHU,13,10,11
Private Hospital/Clinic,62,27,36
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,72,35,44
Nurse,2,3,3
midwife,2,31,24
TBA,5,15,13
Trained Dai/Dai,15,12,13
Family member/Neighbour/Friend,5,5,5
LHV,0,0,0
Other,0,0,0
Total,100,100,100
Matiari,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,15,44,39
Govt. Hospital/RHC/BHU,28,13,16
Private Hospital/Clinic,57,41,44
Other,0,1,1
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,78,51,56
Nurse,5,5,5
midwife,0,0,0
TBA,0,20,16
Trained Dai/Dai,2,10,8
Family member/Neighbour/Friend,13,15,15
LHV,2,0,0
Other,0,0,0
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,25,51,45
Govt. Hospital/RHC/BHU,24,9,13
Private Hospital/Clinic,51,39,42
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,77,48,55
Nurse,2,0,0
midwife,2,0,0
TBA,5,12,11
Trained Dai/Dai,8,31,26
Family member/Neighbour/Friend,7,5,6
LHV,0,1,1
Other,0,1,1
Total,100,100,100
Tando  Muhd Khan,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,28,46,43
Govt. Hospital/RHC/BHU,27,9,12
Private Hospital/Clinic,45,45,45
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,72,44,49
Nurse,0,4,4
midwife,0,0,0
TBA,5,15,13
Trained Dai/Dai,10,22,20
Family member/Neighbour/Friend,13,14,14
LHV,0,0,0
Other,0,0,0
Total,100,100,100
Thatta,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,26,63,59
Govt. Hospital/RHC/BHU,28,29,29
Private Hospital/Clinic,46,7,12
Other,0,1,1
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,65,24,29
Nurse,0,2,2
midwife,9,12,11
TBA,9,16,16
Trained Dai/Dai,5,25,23
Family member/Neighbour/Friend,12,21,20
LHV,0,0,0
Other,0,0,0
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,10,37,11
Govt. Hospital/RHC/BHU,27,27,27
Private Hospital/Clinic,62,36,61
Other,1,0,1
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,80,65,79
Nurse,3,0,3
midwife,8,0,8
TBA,4,15,5
Trained Dai/Dai,2,11,3
Family member/Neighbour/Friend,2,9,3
LHV,0,0,0
Other,0,0,0
Total,100,100,100
Jaccobabad,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,38,92,82
Govt. Hospital/RHC/BHU,21,1,5
Private Hospital/Clinic,41,6,13
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,51,5,14
Nurse,10,2,4
midwife,0,1,1
TBA,14,34,30
Trained Dai/Dai,23,51,45
Family member/Neighbour/Friend,2,7,6
LHV,0,0,0
Other,0,0,0
Total,100,100,100
Kashmore,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,72,86,84
Govt. Hospital/RHC/BHU,2,0,0
Private Hospital/Clinic,26,13,15
Other,0,1,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,20,6,8
Nurse,7,8,8
midwife,0,0,0
TBA,59,37,40
Trained Dai/Dai,11,43,39
Family member/Neighbour/Friend,0,5,4
LHV,0,0,0
Other,2,0,0
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,50,69,61
Govt. Hospital/RHC/BHU,10,9,10
Private Hospital/Clinic,40,22,29
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,50,29,38
Nurse,1,0,0
midwife,0,4,2
TBA,26,0,11
Trained Dai/Dai,13,35,26
Family member/Neighbour/Friend,9,32,23
LHV,0,0,0
Other,0,0,0
Total,100,100,100
Shahdadkot,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,60,70,68
Govt. Hospital/RHC/BHU,2,2,2
Private Hospital/Clinic,38,28,29
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,38,30,31
Nurse,0,0,0
midwife,0,1,1
TBA,34,53,50
Trained Dai/Dai,26,10,12
Family member/Neighbour/Friend,0,6,5
LHV,2,0,0
Other,0,0,0
Total,100,100,100
Shikarpur,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,44,64,59
Govt. Hospital/RHC/BHU,15,12,13
Private Hospital/Clinic,41,24,29
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,56,31,37
Nurse,0,3,2
midwife,1,0,1
TBA,37,58,52
Trained Dai/Dai,2,6,5
Family member/Neighbour/Friend,4,1,2
LHV,0,0,0
Other,0,1,0
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,34,68,60
Govt. Hospital/RHC/BHU,11,13,13
Private Hospital/Clinic,55,19,27
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,68,26,36
Nurse,0,0,0
midwife,4,8,7
TBA,0,7,5
Trained Dai/Dai,7,13,12
Family member/Neighbour/Friend,20,45,39
LHV,0,0,0
Other,1,0,0
Total,100,100,100
Sanghar,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,41,67,60
Govt. Hospital/RHC/BHU,8,11,10
Private Hospital/Clinic,51,22,30
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,58,33,40
Nurse,1,0,0
midwife,1,0,0
TBA,0,0,0
Trained Dai/Dai,27,40,36
Family member/Neighbour/Friend,14,21,19
LHV,0,0,0
Other,0,6,4
Total,100,100,100
Tharparkar,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,40,73,71
Govt. Hospital/RHC/BHU,24,7,8
Private Hospital/Clinic,36,20,21
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,54,25,26
Nurse,7,0,1
midwife,11,4,4
TBA,0,15,14
Trained Dai/Dai,15,13,13
Family member/Neighbour/Friend,13,43,41
LHV,0,0,0
Other,0,0,0
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,57,76,73
Govt. Hospital/RHC/BHU,10,9,9
Private Hospital/Clinic,32,16,18
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,39,19,23
Nurse,4,4,4
midwife,2,2,2
TBA,0,7,6
Trained Dai/Dai,13,6,7
Family member/Neighbour/Friend,42,63,60
LHV,0,0,0
Other,0,0,0
Total,100,100,100
Ghotki,,,
